feature,fuel_type,mean_abs_shap,conditional_mean_shap_when_active,active_rows_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,bid_shap_rank,bid_rows,weighted_bid_rows,unique_settlement_periods,median_system_price,mean_raw_bid_price,median_raw_bid_price,weighted_mean_raw_bid_price,share_so_pays_weighted,share_so_receives_weighted,share_zero_bid_weighted,raw_bid_price_direction
T_DRAXX-1_BID,BIOMASS,0.5605123261765863,-31.997015214635816,41,0.04814091540717898,0.12628903778075173,80.29192900544797,2,1,481,443.9166666666667,481,8.769999999999998,-36.503762993763,-45.0,-39.86305988361179,0.8278580814717477,0.10718978787309931,0.06495213065515298,mostly negative bid (SO pays)
T_DRAXX-2_BID,BIOMASS,0.2990198145969839,-13.847294770472848,42,0.018448909805586892,0.12628903778075173,80.29192900544797,9,2,729,447.69997502497495,729,47.0,5.40233196159122,0.0,6.771110389746714,0.1995383924878483,0.42346333344992443,0.37699827406222747,mixed
T_DRAXX-3_BID,BIOMASS,0.2821582464529591,-13.467519090326356,39,0.01692299043740392,0.12628903778075173,80.29192900544797,10,3,731,455.3571178821179,731,50.0,3.1888782489740097,0.0,3.750373539030498,0.28512419864477523,0.4061307412293472,0.3087450601258774,mixed
T_PNYCW-1_BID,WIND,0.2791226363205077,-34.40852140956377,19,0.02897054921928751,0.12628903778075173,80.29192900544797,11,4,222,220.5,222,0.0,-87.97747747747748,-95.0,-88.05895691609977,1.0,0.0,0.0,mostly negative bid (SO pays)
T_HUMR-1_BID,CCGT,0.2555751631187991,-10.179380302240823,50,0.01215938875886545,0.12628903778075173,80.29192900544797,15,5,823,808.1666666666667,823,54.0,3.992162818955042,5.0,3.474405031965353,0.390389771086822,0.6096102289131778,0.0,leans positive bid (SO receives)
T_HOWBO-1_BID,WIND,0.23824845972808986,-34.68815007450349,12,0.03482947130704097,0.12628903778075173,80.29192900544797,16,6,254,158.5,254,-1.475,-72.88988188976377,-65.0,-73.22821240799159,1.0,0.0,0.0,mostly negative bid (SO pays)
T_TKNWW-1_BID,WIND,0.19328296682840057,-30.94487776553864,15,0.019952200149342163,0.12628903778075173,80.29192900544797,17,7,166,100.5,166,0.0,-119.85,-115.375,-119.51597014925375,1.0,0.0,0.0,mostly negative bid (SO pays)
T_DRAXX-4_BID,BIOMASS,0.164929159067734,-9.740744815621365,36,0.008677020659472668,0.12628903778075173,80.29192900544797,20,8,524,306.6821178821179,524,50.010000000000005,5.202538167938931,0.0,7.8958723575583205,0.224445213202132,0.3989550541691857,0.3765997326286822,mixed
T_TKNEW-1_BID,WIND,0.15531969934832746,-28.683056604849597,11,0.01949793140351518,0.12628903778075173,80.29192900544797,24,9,177,111.5,177,0.0,-122.22305084745763,-118.87,-123.31600896860986,0.9910313901345291,0.008968609865470852,0.0,mostly negative bid (SO pays)
T_HOWBO-2_BID,WIND,0.1405539758192561,-26.230282224937465,12,0.015163144507315745,0.12628903778075173,80.29192900544797,27,10,154,88.5,154,1.0,-72.91279220779221,-65.0,-73.99504708097928,1.0,0.0,0.0,mostly negative bid (SO pays)
T_CLDCW-1_BID,WIND,0.13245644089098182,-31.151918863599946,8,0.01794440286757299,0.12628903778075173,80.29192900544797,28,11,149,149.0,149,0.0,-92.70510067114095,-97.1,-92.70510067114095,1.0,0.0,0.0,mostly negative bid (SO pays)
T_RCBKO-1_BID,WIND,0.12384976719389416,-28.16435538258306,8,0.01774660057741364,0.12628903778075173,80.29192900544797,30,12,160,119.5,160,0.0,-154.37475,-151.23,-154.69903765690376,1.0,0.0,0.0,mostly negative bid (SO pays)
T_HOWBO-3_BID,WIND,0.08026976547402147,-20.456081931550685,8,0.010250526651428555,0.12628903778075173,80.29192900544797,39,13,127,75.3333333333333,127,-1.65008,-67.55039370078742,-67.03,-67.60039823008853,1.0,0.0,0.0,mostly negative bid (SO pays)
T_CLDSW-1_BID,WIND,0.07519809871107351,-21.284845285540317,9,0.00750820785212965,0.12628903778075173,80.29192900544797,42,14,83,83.0,83,-2.1,-90.40253012048194,-95.98,-90.40253012048194,1.0,0.0,0.0,mostly negative bid (SO pays)
T_MOWEO-2_BID,WIND,0.0664093276047732,-20.638530750547147,8,0.006662555812910658,0.12628903778075173,80.29192900544797,45,15,79,41.500000000000014,79,-3.71,-80.54189873417722,-80.11,-82.27361445783131,1.0,0.0,0.0,mostly negative bid (SO pays)
T_RCBKO-2_BID,WIND,0.058555978139405405,-20.67848518873212,5,0.00835282470350787,0.12628903778075173,80.29192900544797,47,16,103,62.5,103,0.05,-153.35980582524274,-151.23,-153.32215999999994,1.0,0.0,0.0,mostly negative bid (SO pays)
T_MOWEO-3_BID,WIND,0.053372493569480046,-17.966044285202813,7,0.005840980723242777,0.12628903778075173,80.29192900544797,49,17,78,44.5,78,-2.73,-77.83602564102563,-75.08,-77.73269662921348,1.0,0.0,0.0,mostly negative bid (SO pays)
T_MOWEO-1_BID,WIND,0.05262580020785464,-17.104915541645976,7,0.005756671895410859,0.12628903778075173,80.29192900544797,50,18,88,49.0,88,-0.30999999999999994,-78.39988636363637,-76.27,-78.73040816326531,1.0,0.0,0.0,mostly negative bid (SO pays)
T_WHILW-1_BID,WIND,0.04906126365098915,-18.05770654771294,7,0.00524371361710407,0.12628903778075173,80.29192900544797,52,19,63,63.0,63,-5.0,-93.08158730158732,-94.0,-93.08158730158732,1.0,0.0,0.0,mostly negative bid (SO pays)
T_CRUA-1_BID,PS,0.04544975365363274,-5.022034937157802,24,0.0021926656371858704,0.12628903778075173,80.29192900544797,54,20,195,125.84597069597069,195,48.5,-4.209333333333333,0.0,-6.210415080939401,0.3185110584920516,0.35235817958752413,0.3291307619204243,mixed
T_KEAD-2_BID,CCGT,0.045012321454118036,-2.6615735755144083,32,0.0017406574851384022,0.12628903778075173,80.29192900544797,55,21,578,497.9571428571428,578,58.0,51.7685294117647,55.0,52.08651765307782,0.0,0.9419294068145089,0.05807059318549121,mostly positive bid (SO receives)
T_SGRWO-6_BID,WIND,0.04145363181374994,-7.036637860056982,15,0.0023791590106210406,0.12628903778075173,80.29192900544797,56,22,137,69.45,137,35.0,-23.245547445255475,-21.33,-24.072721382289416,1.0,0.0,0.0,mostly negative bid (SO pays)
T_HOWAO-2_BID,WIND,0.03518207752185261,-11.202545935201744,8,0.0029829979222862736,0.12628903778075173,80.29192900544797,57,23,72,33.0,72,15.0,-163.9716666666667,-172.76999999999998,-164.4788888888889,1.0,0.0,0.0,mostly negative bid (SO pays)
I_IND-MFTE1_BID,NEMO,0.03190673175574614,-14.914225149278915,6,0.003047452873604756,0.12628903778075173,80.29192900544797,59,24,40,40.0,40,-16.06,-52.193776428571425,-34.71513,-52.193776428571425,0.925,0.075,0.0,mostly negative bid (SO pays)
T_KLGLW-1_BID,WIND,0.028890932500568928,-10.383049981075333,7,0.002834143637866856,0.12628903778075173,80.29192900544797,62,25,64,63.5,64,0.11243,-85.21546875000001,-88.25,-85.22299212598425,1.0,0.0,0.0,mostly negative bid (SO pays)
T_SGRWO-1_BID,WIND,0.02790289768707937,-7.152339781437094,8,0.002191340593786212,0.12628903778075173,80.29192900544797,65,26,121,51.25,121,31.54,-22.176115702479343,-21.03,-22.272773983739835,1.0,0.0,0.0,mostly negative bid (SO pays)
E_DOLLB-1_BID,OTHER,0.021399935745935787,-2.5895842821699517,18,0.0011037467977090373,0.12628903778075173,80.29192900544797,70,27,251,215.95678210678213,251,56.2,30.01159362549801,36.3,31.78277489917849,0.13600604845512818,0.85894243577275,0.005051515772121846,mostly positive bid (SO receives)
T_CLDNW-1_BID,WIND,0.02019518003374233,-10.413583827896897,5,0.002035501534601662,0.12628903778075173,80.29192900544797,71,28,44,44.0,44,-16.095,-90.99022727272725,-92.58500000000001,-90.99022727272725,1.0,0.0,0.0,mostly negative bid (SO pays)
T_WHILW-2_BID,WIND,0.019245118428173013,-6.994586074832035,9,0.0011483272467249198,0.12628903778075173,80.29192900544797,73,29,32,32.0,32,-4.220000000000001,-98.1675,-101.39,-98.1675,1.0,0.0,0.0,mostly negative bid (SO pays)
T_GRAI-7_BID,CCGT,0.01887210018342684,-0.7490864398054708,50,0.0006014328585259355,0.12628903778075173,80.29192900544797,74,30,827,422.71187978687976,827,63.3,46.737412333736394,55.64,41.00207253270012,0.0,0.9913821746748784,0.00861782532512163,mostly positive bid (SO receives)
T_GRAI-8_BID,CCGT,0.018290786568558388,-0.5402345769389917,63,0.0004916707700539786,0.12628903778075173,80.29192900544797,76,31,1158,587.4039793539794,1158,64.315,54.5193091537133,59.0,50.339559194173376,0.0,0.9923391734510395,0.007660826548960482,mostly positive bid (SO receives)
T_BEATO-4_BID,WIND,0.01572740798147514,-13.855100126906757,3,0.0020784688281134,0.12628903778075173,80.29192900544797,79,32,23,11.166666666666668,23,-30.0,-195.0852173913043,-182.97,-191.29529850746266,1.0,0.0,0.0,mostly negative bid (SO pays)
T_AKGLW-3_BID,WIND,0.01570347445486655,-7.062634029933697,5,0.0014812194106255572,0.12628903778075173,80.29192900544797,80,33,64,63.33333333333333,64,0.0,-65.895625,-68.0,-65.73663157894737,1.0,0.0,0.0,mostly negative bid (SO pays)
T_DRSLW-1_BID,WIND,0.015483540451317904,-6.911767580481087,6,0.0013173872125737541,0.12628903778075173,80.29192900544797,81,34,47,36.616666666666674,47,-10.0,-79.23595744680851,-73.87,-78.7569822485207,1.0,0.0,0.0,mostly negative bid (SO pays)
T_SGRWO-3_BID,WIND,0.015366873915554375,-3.922737219746067,10,0.001011778460224367,0.12628903778075173,80.29192900544797,82,35,93,29.95,93,28.34,-24.022043010752697,-25.11,-25.958836950473007,1.0,0.0,0.0,mostly negative bid (SO pays)
