predictor,source_column,bid_shap_rank,overall_shap_rank,feature,mean_abs_shap,conditional_mean_shap_when_active,model_train_r2,bid_rows,weighted_bid_rows,unique_settlement_periods,median_system_price,mean_raw_bid_price,median_raw_bid_price,weighted_mean_raw_bid_price,share_so_pays_weighted,share_so_receives_weighted,share_zero_bid_weighted,raw_bid_price_direction,active_rows_in_shap_sample,mdi,shap_expected_value
Generation type,marginal_fuel_type,1,2,WIND_BID,8.85515963853384,-56.839139397995254,0.36559884640831386,4684,3282.2333333333336,3284,0.01,-93.21052519214348,-88.0,-94.10631277483826,0.9964962880965197,0.0009140118009079183,0.0025897001025724353,mostly negative bid (SO pays),721,0.26844382559722285,80.28728834768779
Generation type,marginal_fuel_type,2,3,CCGT_BID,5.514980324927757,-9.684816019285387,0.36559884640831386,17368,11808.29567099567,11979,63.0,50.00173710271764,55.65,46.35866825620758,0.028158170261328132,0.9261650029367057,0.045676826801966164,mostly positive bid (SO receives),2537,0.058813371872968354,80.28728834768779
Generation type,marginal_fuel_type,3,5,BATTERY_BID,3.8989397885509076,-19.373151088266585,0.36559884640831386,5845,4331.05308996559,4683,58.0,22.619828913601374,42.57,19.86337158632466,0.20430475995661185,0.7833732456355256,0.012321994407862583,mostly positive bid (SO receives),869,0.058160334991365956,80.28728834768779
Generation type,marginal_fuel_type,4,7,BIOMASS_BID,2.326449105416054,-27.59466691841425,0.36559884640831386,2465,1653.6558774558773,1756,45.1,-3.473756592292089,0.0,-6.370834896820707,0.3963944427231596,0.32924308456629847,0.27436247271054204,mixed,353,0.04399606950580858,80.28728834768779
Generation type,marginal_fuel_type,5,9,OTHER_BID,1.5884977567607483,-15.417855493511867,0.36559884640831386,2815,1981.2201825951825,2348,60.0,-23.34790408525755,45.59,-47.31753572466281,0.20179062891585484,0.7900694346607833,0.008139936423361945,mostly positive bid (SO receives),416,0.024930535081812165,80.28728834768779
Generation type,marginal_fuel_type,6,11,PS_BID,1.1992727106321746,-15.620819093547144,0.36559884640831386,2063,1593.0703144078143,1694,55.0,9.11343189529811,0.0,11.330841651667734,0.10796761350985118,0.4860460254030432,0.40598636108710573,mixed,304,0.020284673679910666,80.28728834768779
Generation type,marginal_fuel_type,7,13,LOAD RESPONSE_BID,0.7097146977882715,-14.533495272995275,0.36559884640831386,1276,795.5732073482073,996,55.0,4.259874608150472,39.010000000000005,-12.843225872103547,0.24630489013289036,0.741355454036037,0.012339655831072762,leans positive bid (SO receives),190,0.012996989003758397,80.28728834768779
Generation type,marginal_fuel_type,8,15,NEMO_BID,0.2756549489077267,-33.90275815092278,0.36559884640831386,227,219.0,225,0.9501333333333332,-27.45159875112151,-15.73,-28.260835235180743,0.6689497716894978,0.3219178082191781,0.0091324200913242,leans negative bid (SO pays),30,0.009421504346498513,80.28728834768779
Generation type,marginal_fuel_type,9,16,BritNed_BID,0.270891214406257,-33.63439789597122,0.36559884640831386,201,192.0,196,-3.39,-35.83438405876496,-18.6,-35.86481525596401,0.6388888888888888,0.3541666666666667,0.006944444444444445,leans negative bid (SO pays),31,0.009410999047553187,80.28728834768779
Generation type,marginal_fuel_type,10,18,IFA_BID,0.23194505544025942,-25.21113123388112,0.36559884640831386,222,211.16666666666666,217,7.705,-4.699841616245877,-3.23,-4.711183135627079,0.5872138910812944,0.39542225730071034,0.017363851617995266,leans negative bid (SO pays),36,0.007332468493742583,80.28728834768779
Generation type,marginal_fuel_type,11,20,NPSHYD_BID,0.13945789446985113,-7.0643956626507824,0.36559884640831386,475,309.0330641580642,326,59.7,22.656968421052635,30.08,17.41959234901346,0.24592837729857778,0.6569595482455575,0.09711207445586469,leans positive bid (SO receives),66,0.0029493657956916365,80.28728834768779
Generation type,marginal_fuel_type,12,22,IFA2_BID,0.10031377003437283,-20.06432411158137,0.36559884640831386,104,103.0,104,-3.325,-21.548006506287646,-17.515,-21.69235608401859,0.7766990291262136,0.21359223300970873,0.009708737864077669,mostly negative bid (SO pays),21,0.003396824569095703,80.28728834768779
Generation type,marginal_fuel_type,13,24,Viking_BID,0.08727295743184646,-17.005554592671,0.36559884640831386,119,117.0,119,0.8299999999999998,-15.04405026321929,-9.88,-15.161811806180305,0.6666666666666666,0.3333333333333333,0.0,leans negative bid (SO pays),20,0.0030729976153729714,80.28728834768779
Generation type,marginal_fuel_type,14,25,COAL_BID,0.07295199223043129,-4.264983698146012,0.36559884640831386,375,159.50930735930734,263,59.53,48.31781333333333,51.0,43.865180179202184,0.0,0.9865659429011864,0.013434057098813597,mostly positive bid (SO receives),54,0.0014779111946733377,80.28728834768779
Generation type,marginal_fuel_type,15,29,Eleclink_BID,0.018133416254668702,-7.322366945171,0.36559884640831386,41,39.0,41,4.34,-11.330522881554792,-12.64,-11.963370208814013,0.6666666666666666,0.3333333333333333,0.0,leans negative bid (SO pays),13,0.00048664818977909956,80.28728834768779
Generation type,marginal_fuel_type,16,30,OCGT_BID,0.013674261873796351,-1.4461035638382138,0.36559884640831386,190,149.18571428571425,166,63.36,31.614210526315787,35.5,34.05678125698236,0.07708512879440775,0.7798525327970891,0.1430623384085033,mostly positive bid (SO receives),37,0.00025477830737441183,80.28728834768779
Generation type,marginal_fuel_type,17,33,SOLAR_BID,0.002146184379733546,-2.714428371980033,0.36559884640831386,13,12.0,12,-7.7,-35.85230769230769,-30.84,-36.28166666666667,1.0,0.0,0.0,mostly negative bid (SO pays),4,6.452793577620624e-05,80.28728834768779
Generation type,marginal_fuel_type,18,36,GAS_BID,0.0004433180275729314,-0.2595321874439418,0.36559884640831386,26,15.336904761904762,22,65.0,35.24307692307693,45.0,46.13822867344562,0.0,0.9438795311651013,0.056120468834898705,mostly positive bid (SO receives),8,6.295269183671823e-06,80.28728834768779
Generation type,marginal_fuel_type,19,37,DIESEL_BID,0.0,0.0,0.36559884640831386,26,15.666666666666668,17,76.695,55.714615384615385,50.0,51.472872340425525,0.0,1.0,0.0,mostly positive bid (SO receives),7,0.0,80.28728834768779
Family ID,marginal_family_id,1,2,T_DRAXX_BID,1.6233916437688884,-21.97060414632443,0.18198201017922577,2465,1653.6558774558773,1756,45.1,-3.473756592292089,0.0,-6.370834896820707,0.3963944427231596,0.32924308456629847,0.27436247271054204,mixed,176,0.07359282235209645,80.29192900544831
Family ID,marginal_family_id,2,6,T_HOWBO_BID,0.6838272274105384,-41.936229034854314,0.18198201017922577,535,322.3333333333333,323,-0.67,-71.62897196261682,-65.0,-72.12346432264737,1.0,0.0,0.0,mostly negative bid (SO pays),40,0.056856168567484794,80.29192900544831
Family ID,marginal_family_id,3,11,T_SGRWO_BID,0.40559654050833616,-23.129514376971127,0.18198201017922577,541,208.99999999999997,209,33.0,-22.866062846580405,-21.62,-23.839330143540675,1.0,0.0,0.0,mostly negative bid (SO pays),45,0.021732153010283486,80.29192900544831
Family ID,marginal_family_id,4,14,T_GRAI_BID,0.3689880090915932,-4.5057101680282,0.18198201017922577,2743,1389.002439227439,1793,63.58,49.77513671162961,56.34,43.817106449353055,0.0,0.9888152001415094,0.01118479985849069,mostly positive bid (SO receives),187,0.007216305680082183,80.29192900544831
Family ID,marginal_family_id,5,15,T_PEMB_BID,0.347198169114585,-6.212566014362085,0.18198201017922577,1912,1057.6205128205129,1281,60.02,50.09039225941423,54.0,49.03819426934838,0.0,0.9746128222036888,0.02538717779631102,mostly positive bid (SO receives),127,0.008500038394683634,80.29192900544831
Family ID,marginal_family_id,6,19,T_DINO_BID,0.282314742348388,-8.714401742843975,0.18198201017922577,1044,857.4856532356532,922,57.025,13.958936781609195,0.0,16.28211647549787,0.03284797426100601,0.504082590901146,0.46306943483784796,mixed,79,0.008591779301235886,80.29192900544831
Family ID,marginal_family_id,7,20,T_MOWEO_BID,0.272690474348417,-37.73356020716868,0.18198201017922577,245,134.99999999999997,135,-1.6498039215686275,-78.9110612244898,-76.27,-79.49074074074076,1.0,0.0,0.0,mostly negative bid (SO pays),17,0.024281012843106832,80.29192900544831
Family ID,marginal_family_id,8,23,T_PNYCW_BID,0.26098246419982196,-35.84950053392814,0.18198201017922577,222,220.5,222,0.0,-87.97747747747748,-95.0,-88.05895691609977,1.0,0.0,0.0,mostly negative bid (SO pays),19,0.020778328463529536,80.29192900544831
Family ID,marginal_family_id,9,24,T_RCBKO_BID,0.24359025087656327,-34.080686996012034,0.18198201017922577,263,182.0,182,0.0,-153.97726235741447,-151.23,-154.2262087912088,1.0,0.0,0.0,mostly negative bid (SO pays),15,0.023504730621661845,80.29192900544831
Family ID,marginal_family_id,10,26,T_HUMR_CC_BID,0.20391937946016725,-8.28634886553567,0.18198201017922577,823,808.1666666666667,823,54.0,3.992162818955042,5.0,3.474405031965353,0.390389771086822,0.6096102289131778,0.0,leans positive bid (SO receives),58,0.00711956811965512,80.29192900544831
Family ID,marginal_family_id,11,27,T_TKNEW_BID,0.19463981159818913,-34.86217066848191,0.18198201017922577,177,111.5,177,0.0,-122.22305084745763,-118.87,-123.31600896860986,0.9910313901345291,0.008968609865470852,0.0,mostly negative bid (SO pays),14,0.0167676227301335,80.29192900544831
Family ID,marginal_family_id,12,28,T_CRUA_BID,0.1837838910373192,-10.881960632325976,0.18198201017922577,611,400.23386752136753,451,50.05,-0.1573813420621929,0.0,0.3121996094850375,0.2810856579846879,0.3818065315368308,0.3371078104784814,mixed,36,0.008661475421857582,80.29192900544831
Family ID,marginal_family_id,13,30,T_HOWAO_BID,0.1667819939084644,-22.41550293713141,0.18198201017922577,217,109.99999999999999,110,15.24,-158.57276497695852,-169.13,-155.68218181818185,0.990909090909091,0.009090909090909092,0.0,mostly negative bid (SO pays),20,0.010676121915116181,80.29192900544831
Family ID,marginal_family_id,14,31,T_TKNWW_BID,0.15313328438705948,-30.64460153409927,0.18198201017922577,166,100.5,166,0.0,-119.85,-115.375,-119.51597014925375,1.0,0.0,0.0,mostly negative bid (SO pays),12,0.013790927408564635,80.29192900544831
Family ID,marginal_family_id,15,32,T_CLDCW_BID,0.15285541123577612,-29.68620055483445,0.18198201017922577,149,149.0,149,0.0,-92.70510067114095,-97.1,-92.70510067114095,1.0,0.0,0.0,mostly negative bid (SO pays),14,0.011438069761732653,80.29192900544831
Family ID,marginal_family_id,16,35,T_WBURB_CC_BID,0.1468085501486375,-1.962585419575602,0.18198201017922577,2542,1447.7375152625152,1635,64.06,54.26169158143195,57.09,47.44219041053089,0.0,0.7917727971021941,0.20822720289780608,mostly positive bid (SO receives),168,0.002538438690842279,80.29192900544831
Family ID,marginal_family_id,17,36,T_STAY_BID,0.13676625410511684,-2.7057168660438355,0.18198201017922577,1614,971.0420496170495,1182,64.1,55.534151177199504,59.0,53.95545839170268,0.0,0.9753872656601993,0.02461273433980069,mostly positive bid (SO receives),122,0.002592033948295218,80.29192900544831
Family ID,marginal_family_id,18,39,T_BEATO_BID,0.10588095996943164,-42.27220466562071,0.18198201017922577,83,35.0,35,-25.31,-188.3977108433735,-176.35,-177.22228571428568,1.0,0.0,0.0,mostly negative bid (SO pays),6,0.013015100556899667,80.29192900544831
Family ID,marginal_family_id,19,41,T_WHILW_BID,0.0898699487090777,-24.489614546114023,0.18198201017922577,95,95.0,95,-4.23,-94.79473684210527,-98.43,-94.79473684210527,1.0,0.0,0.0,mostly negative bid (SO pays),11,0.006774658456220432,80.29192900544831
Family ID,marginal_family_id,20,43,2__HSTAT_BID,0.08310805325511186,-9.518586088948052,0.18198201017922577,308,216.59891774891776,272,44.175,19.336525974025975,23.765,24.22168626820041,0.2306765252271689,0.7652447768383119,0.004078697934518986,mostly positive bid (SO receives),19,0.004200422122270314,80.29192900544831
Family ID,marginal_family_id,21,44,T_AKGLW_BID,0.07996842477758101,-17.672580373906218,0.18198201017922577,108,105.16666666666666,107,0.0,-73.43814814814814,-68.0,-73.23442155309034,1.0,0.0,0.0,mostly negative bid (SO pays),14,0.0046465280199691735,80.29192900544831
Family ID,marginal_family_id,22,48,T_EAAO_BID,0.06646287803955754,-15.674930321761487,0.18198201017922577,104,72.0,72,7.730196078431373,-145.01057692307694,-150.9,-145.4976388888889,1.0,0.0,0.0,mostly negative bid (SO pays),13,0.0041654097113925015,80.29192900544831
Family ID,marginal_family_id,23,49,T_CLDSW_BID,0.06524526037435716,-18.409744212765762,0.18198201017922577,83,83.0,83,-2.1,-90.40253012048194,-95.98,-90.40253012048194,1.0,0.0,0.0,mostly negative bid (SO pays),11,0.004571136742262344,80.29192900544831
Family ID,marginal_family_id,24,54,E_PILLB_BID,0.04054523517193616,-3.463903499618906,0.18198201017922577,400,322.27460317460316,375,55.03,28.494600000000002,40.0,28.670954943285082,0.22263622169795058,0.7711578905892146,0.00620588771283486,mostly positive bid (SO receives),27,0.0014750856411808158,80.29192900544831
Family ID,marginal_family_id,25,57,T_KEAD_BID,0.03121410314461192,-1.4208972059402454,0.18198201017922577,698,585.5666666666667,691,59.0,53.555888252149,55.1,53.43091386853597,0.0,0.9427904593840725,0.05720954061592758,mostly positive bid (SO receives),54,0.0007873482759822209,80.29192900544831
Family ID,marginal_family_id,26,60,2__HANGE_LR_BID,0.029269118031132087,-2.8482857567131723,0.18198201017922577,294,215.88419913419915,265,52.0,18.802687074829933,25.0,16.465770920958303,0.3393794773332264,0.6548303814474852,0.0057901412192884385,leans positive bid (SO receives),28,0.0010406177112400826,80.29192900544831
Family ID,marginal_family_id,27,62,T_KLGLW_BID,0.0233615083355154,-8.864359296599737,0.18198201017922577,64,63.5,64,0.11243,-85.21546875000001,-88.25,-85.22299212598425,1.0,0.0,0.0,mostly negative bid (SO pays),8,0.00149879712525266,80.29192900544831
Family ID,marginal_family_id,28,64,E_BTUIW_BID,0.021051996192265034,-7.721747861503086,0.18198201017922577,54,52.5,54,-2.0,-36.17018518518519,-21.42,-34.859904761904765,1.0,0.0,0.0,mostly negative bid (SO pays),9,0.00119837124774193,80.29192900544831
Family ID,marginal_family_id,29,65,T_GYMR_BID,0.019361281153610885,-14.263756432560658,0.18198201017922577,21,11.0,11,-48.04,-176.18285714285713,-173.34,-174.96818181818188,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.0014756818817191406,80.29192900544831
Family ID,marginal_family_id,30,68,I_IND-MFTE_BID,0.018161489326432866,-10.782706327249333,0.18198201017922577,40,40.0,40,-16.06,-52.193776428571425,-34.71513,-52.193776428571425,0.925,0.075,0.0,mostly negative bid (SO pays),5,0.0014857062797946482,80.29192900544831
BMU ID,marginal_bmu_id,1,2,T_DRAXX-1_BID,0.514134637260444,-31.997015214635805,0.12628903778075173,481,443.9166666666667,481,8.769999999999998,-36.503762993763,-45.0,-39.86305988361179,0.8278580814717477,0.10718978787309931,0.06495213065515298,mostly negative bid (SO pays),22,0.04814091540717898,80.29192900544797
BMU ID,marginal_bmu_id,2,9,T_DRAXX-2_BID,0.2974449507514672,-13.847294770472844,0.12628903778075173,729,447.69997502497495,729,47.0,5.40233196159122,0.0,6.771110389746714,0.1995383924878483,0.42346333344992443,0.37699827406222747,mixed,26,0.018448909805586892,80.29192900544797
BMU ID,marginal_bmu_id,3,10,T_HOWBO-1_BID,0.2865313036509577,-34.68815007450349,0.12628903778075173,254,158.5,254,-1.475,-72.88988188976377,-65.0,-73.22821240799159,1.0,0.0,0.0,mostly negative bid (SO pays),11,0.03482947130704097,80.29192900544797
BMU ID,marginal_bmu_id,4,12,T_DRAXX-3_BID,0.2746212120816148,-13.467519090326357,0.12628903778075173,731,455.3571178821179,731,50.0,3.1888782489740097,0.0,3.750373539030498,0.28512419864477523,0.4061307412293472,0.3087450601258774,mixed,23,0.01692299043740392,80.29192900544797
BMU ID,marginal_bmu_id,5,13,T_HUMR-1_BID,0.2665037612714025,-10.179380302240824,0.12628903778075173,823,808.1666666666667,823,54.0,3.992162818955042,5.0,3.474405031965353,0.390389771086822,0.6096102289131778,0.0,leans positive bid (SO receives),34,0.01215938875886545,80.29192900544797
BMU ID,marginal_bmu_id,6,16,T_PNYCW-1_BID,0.25327854969069824,-34.408521409563775,0.12628903778075173,222,220.5,222,0.0,-87.97747747747748,-95.0,-88.05895691609977,1.0,0.0,0.0,mostly negative bid (SO pays),10,0.02897054921928751,80.29192900544797
BMU ID,marginal_bmu_id,7,17,T_TKNWW-1_BID,0.21327390252683567,-30.944877765538635,0.12628903778075173,166,100.5,166,0.0,-119.85,-115.375,-119.51597014925375,1.0,0.0,0.0,mostly negative bid (SO pays),11,0.019952200149342163,80.29192900544797
BMU ID,marginal_bmu_id,8,24,T_CLDCW-1_BID,0.1572754712746348,-31.151918863599946,0.12628903778075173,149,149.0,149,0.0,-92.70510067114095,-97.1,-92.70510067114095,1.0,0.0,0.0,mostly negative bid (SO pays),7,0.01794440286757299,80.29192900544797
BMU ID,marginal_bmu_id,9,25,T_DRAXX-4_BID,0.1551458978785262,-9.740744815621362,0.12628903778075173,524,306.6821178821179,524,50.010000000000005,5.202538167938931,0.0,7.8958723575583205,0.224445213202132,0.3989550541691857,0.3765997326286822,mixed,20,0.008677020659472668,80.29192900544797
BMU ID,marginal_bmu_id,10,26,T_TKNEW-1_BID,0.14523426112058468,-28.6830566048496,0.12628903778075173,177,111.5,177,0.0,-122.22305084745763,-118.87,-123.31600896860986,0.9910313901345291,0.008968609865470852,0.0,mostly negative bid (SO pays),6,0.01949793140351518,80.29192900544797
BMU ID,marginal_bmu_id,11,28,T_HOWBO-2_BID,0.135257101516556,-26.230282224937465,0.12628903778075173,154,88.5,154,1.0,-72.91279220779221,-65.0,-73.99504708097928,1.0,0.0,0.0,mostly negative bid (SO pays),7,0.015163144507315745,80.29192900544797
BMU ID,marginal_bmu_id,12,29,T_RCBKO-1_BID,0.13502609875007818,-28.164355382583064,0.12628903778075173,160,119.5,160,0.0,-154.37475,-151.23,-154.69903765690376,1.0,0.0,0.0,mostly negative bid (SO pays),6,0.01774660057741364,80.29192900544797
BMU ID,marginal_bmu_id,13,39,T_HOWBO-3_BID,0.08023605351673167,-20.456081931550685,0.12628903778075173,127,75.3333333333333,127,-1.65008,-67.55039370078742,-67.03,-67.60039823008853,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.010250526651428555,80.29192900544797
BMU ID,marginal_bmu_id,14,42,T_CLDSW-1_BID,0.07836438285578867,-21.284845285540317,0.12628903778075173,83,83.0,83,-2.1,-90.40253012048194,-95.98,-90.40253012048194,1.0,0.0,0.0,mostly negative bid (SO pays),6,0.00750820785212965,80.29192900544797
BMU ID,marginal_bmu_id,15,46,T_MOWEO-2_BID,0.06638424415835147,-20.638530750547147,0.12628903778075173,79,41.500000000000014,79,-3.71,-80.54189873417722,-80.11,-82.27361445783131,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.006662555812910658,80.29192900544797
BMU ID,marginal_bmu_id,16,47,T_RCBKO-2_BID,0.06575835112360383,-20.67848518873212,0.12628903778075173,103,62.5,103,0.05,-153.35980582524274,-151.23,-153.32215999999994,1.0,0.0,0.0,mostly negative bid (SO pays),4,0.00835282470350787,80.29192900544797
BMU ID,marginal_bmu_id,17,48,T_MOWEO-3_BID,0.05783818332571832,-17.966044285202813,0.12628903778075173,78,44.5,78,-2.73,-77.83602564102563,-75.08,-77.73269662921348,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.005840980723242777,80.29192900544797
BMU ID,marginal_bmu_id,18,50,T_MOWEO-1_BID,0.056873334764291975,-17.104915541645976,0.12628903778075173,88,49.0,88,-0.30999999999999994,-78.39988636363637,-76.27,-78.73040816326531,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.005756671895410859,80.29192900544797
BMU ID,marginal_bmu_id,19,52,T_WHILW-1_BID,0.05355755309606293,-18.05770654771294,0.12628903778075173,63,63.0,63,-5.0,-93.08158730158732,-94.0,-93.08158730158732,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.00524371361710407,80.29192900544797
BMU ID,marginal_bmu_id,20,53,T_SGRWO-6_BID,0.04880879355011576,-7.036637860056981,0.12628903778075173,137,69.45,137,35.0,-23.245547445255475,-21.33,-24.072721382289416,1.0,0.0,0.0,mostly negative bid (SO pays),12,0.0023791590106210406,80.29192900544797
BMU ID,marginal_bmu_id,21,54,T_KEAD-2_BID,0.044975274140679755,-2.6615735755144088,0.12628903778075173,578,497.9571428571428,578,58.0,51.7685294117647,55.0,52.08651765307782,0.0,0.9419294068145089,0.05807059318549121,mostly positive bid (SO receives),20,0.0017406574851384022,80.29192900544797
BMU ID,marginal_bmu_id,22,56,T_CRUA-1_BID,0.0434217124906723,-5.0220349371578,0.12628903778075173,195,125.84597069597069,195,48.5,-4.209333333333333,0.0,-6.210415080939401,0.3185110584920516,0.35235817958752413,0.3291307619204243,mixed,14,0.0021926656371858704,80.29192900544797
BMU ID,marginal_bmu_id,23,57,T_HOWAO-2_BID,0.03964262620002267,-11.202545935201742,0.12628903778075173,72,33.0,72,15.0,-163.9716666666667,-172.76999999999998,-164.4788888888889,1.0,0.0,0.0,mostly negative bid (SO pays),6,0.0029829979222862736,80.29192900544797
BMU ID,marginal_bmu_id,24,58,I_IND-MFTE1_BID,0.03935333226193501,-14.914225149278915,0.12628903778075173,40,40.0,40,-16.06,-52.193776428571425,-34.71513,-52.193776428571425,0.925,0.075,0.0,mostly negative bid (SO pays),5,0.003047452873604756,80.29192900544797
BMU ID,marginal_bmu_id,25,60,T_SGRWO-1_BID,0.03359430705501762,-7.152339781437093,0.12628903778075173,121,51.25,121,31.54,-22.176115702479343,-21.03,-22.272773983739835,1.0,0.0,0.0,mostly negative bid (SO pays),7,0.002191340593786212,80.29192900544797
BMU ID,marginal_bmu_id,26,62,T_KLGLW-1_BID,0.0314688649641849,-10.383049981075333,0.12628903778075173,64,63.5,64,0.11243,-85.21546875000001,-88.25,-85.22299212598425,1.0,0.0,0.0,mostly negative bid (SO pays),5,0.002834143637866856,80.29192900544797
BMU ID,marginal_bmu_id,27,68,T_WHILW-2_BID,0.02588561136884403,-6.994586074832035,0.12628903778075173,32,32.0,32,-4.220000000000001,-98.1675,-101.39,-98.1675,1.0,0.0,0.0,mostly negative bid (SO pays),8,0.0011483272467249198,80.29192900544797
BMU ID,marginal_bmu_id,28,69,E_DOLLB-1_BID,0.024233330474672646,-2.5895842821699517,0.12628903778075173,251,215.95678210678213,251,56.2,30.01159362549801,36.3,31.78277489917849,0.13600604845512818,0.85894243577275,0.005051515772121846,mostly positive bid (SO receives),14,0.0011037467977090373,80.29192900544797
BMU ID,marginal_bmu_id,29,70,T_CLDNW-1_BID,0.02383148436559,-10.413583827896897,0.12628903778075173,44,44.0,44,-16.095,-90.99022727272725,-92.58500000000001,-90.99022727272725,1.0,0.0,0.0,mostly negative bid (SO pays),4,0.002035501534601662,80.29192900544797
BMU ID,marginal_bmu_id,30,74,T_BEATO-4_BID,0.021956153922730256,-13.855100126906757,0.12628903778075173,23,11.166666666666668,23,-30.0,-195.0852173913043,-182.97,-191.29529850746266,1.0,0.0,0.0,mostly negative bid (SO pays),3,0.0020784688281134,80.29192900544797
